Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.02.,Mazza M.,2,,,,,,"['2', '1', '6', '3']","['2', '0', '6', '2']",[],[],[],1.01
13.02.,Valle F.,0,,,,,,[],[],[],[],[],11.00
12.02.,Valle F.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.07
12.02.,Gurmeric M. E.,0,,,,,,[],[],[],[],[],6.35
14.11.2024,Tammaro M.,2,,,,,,"['3', '1', '5', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],1.40
14.11.2024,Valle F.,0,,,,,,"['2', '3']",[],[],[],[],2.77
23.10.2024,Madarasz G.,2,,,,,,"['3', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.06
23.10.2024,Valle F.,0,,,,,,[],[],[],[],[],7.42
17.10.2024,Madarasz G.,2,,,,,,"['7', '5']","['2', '0', '5', '1']",[],[],[],1.08
17.10.2024,Valle F.,0,,,,,,[],[],[],[],[],6.71
16.10.2024,Valle F.,2,,,,,,[],"['2', '0']",[],[],[],1.72
16.10.2024,Malakhovich M.,0,,,,,,[],[],[],[],[],2.00
21.08.2024,Ciavarella N.,2,,,,,,"['2', '2', '4', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.12
21.08.2024,Valle F.,0,,,,,,"['1', '0']",[],[],[],[],5.57
20.06.2023,Compagnucci T.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '4', '1']",[],[],[],1.05
20.06.2023,Valle F.,0,,,,,,[],[],[],[],[],8.50
24.05.2023,Ambrogi L. E.,2,,,,,,[],[],[],[],[],1.04
24.05.2023,Valle F.,0,,,,,,[],[],[],[],[],8.80
