Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,136/92,119/84,1/3,-,-,16/5
2024,40/27,36/26,-,-,-,4/1
2023,54/30,42/26,-,-,-,12/4
2022,35/26,34/24,1/2,-,-,-
2021,2/5,2/4,0/1,-,-,-
2020,4/3,4/3,-,-,-,-
2019,1/1,1/1,-,-,-,-
