Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.08.,Tobon M.,2,,,,,,3,6,61%,76% (25/33),48% (10/21),33% (1/3),41% (15/37),53% (18/34),50% (4/8),15,21,83% (5/6),65% (35/54),47% (33/70),55% (68/124),5,0,80% (8/10),44% (4/9),63% (12/19),"['2', '0', '4', '0']","['1', '0', '4', '3']",[],[],[],20.5
12.08.,Vallejo D.,0,,,,,,1,4,52%,59% (22/37),47% (16/34),50% (4/8),27% (9/33),52% (11/21),67% (2/3),18,34,63% (5/8),53% (37/70),35% (19/54),45% (56/124),5,0,56% (5/9),20% (2/10),37% (7/19),"['2', '5']","['1', '1']",[],[],[],1.74
05.08.,Ghibaudo A.,2,,,,,,2,3,61%,61% (19/31),60% (12/20),80% (4/5),54% (14/26),80% (16/20),60% (6/10),13,19,75% (6/8),61% (31/51),65% (30/46),63% (61/97),8,0,86% (6/7),86% (6/7),86% (12/14),"['2', '0', '4', '0', '6', '0']","['2', '0', '3', '1', '6', '2']",[],[],[],1.76
05.08.,Vallejo D.,0,,,,,,2,1,57%,46% (12/26),20% (4/20),40% (4/10),39% (12/31),40% (8/20),20% (1/5),10,29,80% (4/5),35% (16/46),39% (20/51),37% (36/97),2,0,14% (1/7),14% (1/7),14% (2/14),[],"['1', '2']",[],[],[],1.97
24.07.,Diaz Acosta F.,2,,,,,,5,1,71%,73% (36/49),60% (12/20),80% (4/5),38% (17/45),50% (16/32),25% (3/12),26,33,73% (8/11),70% (48/69),43% (33/77),55% (81/146),5,0,90% (9/10),30% (3/10),60% (12/20),"['2', '0']","['1', '0', '4', '1']",[],[],[],1.21
24.07.,Vallejo D.,0,,,,,,1,4,58%,62% (28/45),50% (16/32),75% (9/12),27% (13/49),40% (8/20),20% (1/5),16,32,67% (8/12),57% (44/77),30% (21/69),45% (65/146),5,1,70% (7/10),10% (1/10),40% (8/20),"['1', '2']",[],[],[],[],3.77
22.07.,Vallejo D.,2,,,,,,0,0,72%,88% (23/26),60% (6/10),0% (0/0),54% (15/28),65% (13/20),100% (5/5),14,13,75% (3/4),81% (29/36),58% (28/48),68% (57/84),8,0,100% (7/7),63% (5/8),80% (12/15),"['1', '0', '3', '0', '6', '1']","['3', '1', '6', '2']",[],[],[],1.74
22.07.,Mena F.,0,,,,,,1,3,58%,46% (13/28),35% (7/20),0% (0/5),12% (3/26),40% (4/10),0% (0/0),8,30,80% (4/5),42% (20/48),19% (7/36),32% (27/84),2,0,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],2.00
17.07.,Neumayer L.,2,,,,,,5,1,64%,74% (34/46),46% (12/26),40% (2/5),37% (17/46),47% (20/43),50% (5/10),20,31,67% (2/3),64% (46/72),42% (37/89),52% (83/161),7,0,77% (10/13),36% (5/14),56% (15/27),"['1', '0', '5', '2']","['2', '1']","['2', '0', '6', '4']",[],[],1.42
17.07.,Vallejo D.,1,,,,,,2,3,52%,63% (29/46),53% (23/43),50% (5/10),26% (12/46),54% (14/26),60% (3/5),19,38,89% (8/9),58% (52/89),36% (26/72),48% (78/161),3,0,64% (9/14),23% (3/13),44% (12/27),[],"['3', '3', '5', '3']","['2', '3']",[],[],2.73
15.07.,Vallejo D.,2,,,,,,1,6,46%,80% (20/25),55% (16/29),80% (4/5),26% (10/39),74% (25/34),44% (4/9),20,24,86% (6/7),67% (36/54),48% (35/73),56% (71/127),5,0,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '3', '2', '6', '3']","['3', '1']",[],[],[],1.82
15.07.,Basile P.,0,,,,,,2,1,53%,74% (29/39),26% (9/34),56% (5/9),20% (5/25),45% (13/29),20% (1/5),13,37,63% (5/8),52% (38/73),33% (18/54),44% (56/127),5,0,56% (5/9),11% (1/9),33% (6/18),"['1', '1']",[],[],[],[],1.91
07.07.,Meligeni Alves F.,2,,,,,,1,3,64%,85% (41/48),56% (15/27),75% (3/4),29% (15/52),52% (15/29),29% (2/7),75% (56/75),37% (30/81),55% (86/156),7,0,91% (10/11),20% (2/10),57% (12/21),"['2', '3']","['3', '1']",[],[],[],1.52
07.07.,Vallejo D.,0,,,,,,10,1,64%,71% (37/52),48% (14/29),71% (5/7),15% (7/48),44% (12/27),25% (1/4),63% (51/81),25% (19/75),45% (70/156),3,0,80% (8/10),9% (1/11),43% (9/21),"['2', '0']",[],[],[],[],2.54
18.06.,Giustino L.,2,,,,,,3,5,62%,75% (38/51),48% (15/31),50% (3/6),40% (21/52),41% (17/41),27% (4/15),65% (53/82),41% (38/93),52% (91/175),7,0,79% (11/14),31% (4/13),56% (15/27),"['3', '1']","['1', '0']","['2', '0', '5', '3']",[],[],1.56
18.06.,Vallejo D.,1,,,,,,2,2,56%,60% (31/52),59% (24/41),73% (11/15),25% (13/51),52% (16/31),50% (3/6),59% (55/93),35% (29/82),48% (84/175),3,0,69% (9/13),21% (3/14),44% (12/27),[],"['2', '2', '5', '3']","['2', '3']",[],[],2.33
16.06.,Vallejo D.,1,,,,,,1,1,62%,66% (19/29),39% (7/18),67% (6/9),56% (14/25),82% (9/11),71% (5/7),54% (25/46),64% (23/36),59% (48/82),8,0,57% (4/7),83% (5/6),69% (9/13),"['2', '0', '3', '1', '5', '3']","['1', '0', '2', '1']",[],[],[],1.96
16.06.,Mena F.,0,,,,,,2,2,69%,44% (11/25),18% (2/11),29% (2/7),41% (12/29),61% (11/18),33% (3/9),36% (13/36),46% (21/46),41% (34/82),2,0,17% (1/6),43% (3/7),31% (4/13),"['1', '2', '2', '3']","['1', '1']",[],[],[],1.77
12.06.,Hsu Y. H.,2,,,,,,1,1,73%,71% (29/41),53% (8/15),83% (5/6),32% (9/28),61% (20/33),31% (4/13),66% (37/56),48% (29/61),56% (66/117),7,0,89% (8/9),50% (4/8),71% (12/17),"['6', '4']","['1', '1', '3', '1', '5', '1']",[],[],[],2.56
12.06.,Vallejo D.,0,,,,,,4,8,46%,68% (19/28),39% (13/33),69% (9/13),29% (12/41),47% (7/15),17% (1/6),52% (32/61),34% (19/56),44% (51/117),3,0,50% (4/8),11% (1/9),29% (5/17),[],"['1', '0']",[],[],[],1.47
10.06.,Vallejo D.,2,,,,,,2,1,60%,68% (28/41),70% (19/27),67% (2/3),24% (11/45),65% (15/23),38% (3/8),69% (47/68),38% (26/68),54% (73/136),8,0,92% (11/12),25% (3/12),58% (14/24),"['3', '1', '7', '5']","['7', '5']",[],[],[],1.73
10.06.,Martineau M.,0,,,,,,7,7,66%,76% (34/45),35% (8/23),63% (5/8),32% (13/41),30% (8/27),33% (1/3),62% (42/68),31% (21/68),46% (63/136),2,0,75% (9/12),8% (1/12),42% (10/24),"['2', '3']",[],[],[],[],2.00
03.06.,Tseng C. H.,2,,,,,,2,1,54%,66% (23/35),67% (20/30),33% (1/3),54% (20/37),44% (11/25),57% (4/7),66% (43/65),50% (31/62),58% (74/127),7,0,80% (8/10),44% (4/9),63% (12/19),"['2', '3', '4', '5']","['2', '0', '5', '1']",[],[],[],1.25
03.06.,Vallejo D.,0,,,,,,2,4,60%,46% (17/37),56% (14/25),43% (3/7),34% (12/35),33% (10/30),67% (2/3),50% (31/62),34% (22/65),42% (53/127),3,0,56% (5/9),20% (2/10),37% (7/19),"['2', '0', '5', '3']",[],[],[],[],3.70
28.05.,Ajdukovic D.,2,,,,,,5,1,61%,76% (31/41),54% (14/26),50% (2/4),41% (19/46),48% (12/25),50% (4/8),6,8,67% (4/6),67% (45/67),44% (31/71),55% (76/138),5,0,82% (9/11),36% (4/11),59% (13/22),"['2', '1', '6', '5']","['1', '0', '5', '2']",[],[],[],1.61
28.05.,Vallejo D.,0,,,,,,0,2,65%,59% (27/46),52% (13/25),50% (4/8),24% (10/41),46% (12/26),50% (2/4),9,3,50% (3/6),56% (40/71),33% (22/67),45% (62/138),5,1,64% (7/11),18% (2/11),41% (9/22),"['4', '4']","['3', '5']",[],[],[],2.23
27.05.,Vallejo D.,2,,,,,,1,9,57%,69% (50/72),42% (23/55),62% (8/13),42% (30/72),50% (23/46),46% (6/13),30,48,70% (14/20),57% (73/127),45% (53/118),51% (126/245),5,0,71% (12/17),38% (6/16),55% (18/33),"['1', '0', '2', '1', '6', '5']","['3', '1']","['4', '3', '5', '4']",[],[],1.44
27.05.,Durasovic V.,1,,,,,,4,3,61%,58% (42/72),50% (23/46),54% (7/13),31% (22/72),58% (32/55),38% (5/13),41,76,67% (12/18),55% (65/118),43% (54/127),49% (119/245),5,4,63% (10/16),29% (5/17),45% (15/33),"['1', '1', '4', '4', '6', '6']",[],"['4', '4', '5', '5']",[],[],2.66
14.04.,Andrade A.,2,,,,,,2,1,51%,86% (19/22),62% (13/21),0% (0/0),46% (16/35),55% (16/29),44% (4/9),74% (32/43),50% (32/64),60% (64/107),7,0,100% (8/8),44% (4/9),71% (12/17),"['3', '2', '5', '2']","['3', '2', '6', '3']",[],[],[],1.66
14.04.,Vallejo D.,0,,,,,,1,1,55%,54% (19/35),45% (13/29),56% (5/9),14% (3/22),38% (8/21),0% (0/0),50% (32/64),26% (11/43),40% (43/107),3,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],2.14
08.04.,Montes-De La Torre I.,2,,,,,,1,1,66%,58% (18/31),56% (9/16),0% (0/3),44% (15/34),74% (17/23),75% (6/8),57% (27/47),56% (32/57),57% (59/104),5,0,67% (6/9),67% (6/9),67% (12/18),"['2', '3', '4', '3', '5', '4']","['1', '0', '2', '1', '4', '1']",[],[],[],1.80
08.04.,Vallejo D.,0,,,,,,1,3,60%,56% (19/34),26% (6/23),25% (2/8),42% (13/31),44% (7/16),100% (3/3),44% (25/57),43% (20/47),43% (45/104),5,1,33% (3/9),33% (3/9),33% (6/18),"['2', '0', '4', '4']","['1', '1']",[],[],[],1.93
25.03.,Kicker N.,2,,,,,,0,0,63%,77% (17/22),85% (11/13),0% (0/0),48% (14/29),76% (13/17),42% (5/12),80% (28/35),59% (27/46),68% (55/81),10,0,100% (7/7),71% (5/7),86% (12/14),"['2', '1', '4', '1', '6', '1']","['2', '0', '5', '1']",[],[],[],2.59
25.03.,Vallejo D.,0,,,,,,2,2,63%,52% (15/29),24% (4/17),58% (7/12),23% (5/22),15% (2/13),0% (0/0),41% (19/46),20% (7/35),32% (26/81),0,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],1.46
22.03.,Nava E.,2,,,,,,3,5,56%,84% (27/32),36% (9/25),67% (2/3),48% (20/42),45% (10/22),50% (4/8),63% (36/57),47% (30/64),55% (66/121),5,0,89% (8/9),44% (4/9),67% (12/18),"['4', '3', '5', '4']","['2', '1', '4', '1']",[],[],[],1.61
22.03.,Vallejo D.,0,,,,,,0,0,66%,52% (22/42),55% (12/22),50% (4/8),16% (5/32),64% (16/25),33% (1/3),53% (34/64),37% (21/57),45% (55/121),5,1,56% (5/9),11% (1/9),33% (6/18),"['4', '4']",[],[],[],[],2.23
21.03.,Vallejo D.,2,,,,,,1,2,64%,76% (19/25),79% (11/14),0% (0/1),50% (20/40),58% (11/19),50% (5/10),77% (30/39),53% (31/59),62% (61/98),9,0,88% (7/8),63% (5/8),75% (12/16),"['3', '1', '6', '2']","['1', '1', '4', '2', '6', '2']",[],[],[],2.81
21.03.,Galan D. E.,0,,,,,,2,0,68%,50% (20/40),42% (8/19),50% (5/10),24% (6/25),21% (3/14),100% (1/1),47% (28/59),23% (9/39),38% (37/98),1,1,38% (3/8),13% (1/8),25% (4/16),[],"['1', '0']",[],[],[],1.40
20.03.,Vallejo D.,2,,,,,,1,6,59%,79% (26/33),39% (9/23),83% (5/6),45% (20/44),59% (13/22),38% (5/13),63% (35/56),50% (33/66),56% (68/122),8,0,88% (7/8),56% (5/9),71% (12/17),"['1', '0', '2', '1', '4', '1']","['4', '3', '6', '3']",[],[],[],1.24
20.03.,Roncadelli F.,0,,,,,,1,2,67%,55% (24/44),41% (9/22),62% (8/13),21% (7/33),61% (14/23),17% (1/6),50% (33/66),38% (21/56),44% (54/122),2,1,44% (4/9),13% (1/8),29% (5/17),"['1', '1']",[],[],[],[],3.80
18.03.,Vallejo D.,2,,,,,,2,2,68%,76% (34/45),43% (9/21),50% (2/4),45% (17/38),41% (15/37),57% (4/7),65% (43/66),43% (32/75),53% (75/141),6,0,80% (8/10),36% (4/11),57% (12/21),"['2', '3', '4', '3', '6', '3']","['3', '1']",[],[],[],1.39
18.03.,Rodriguez Taverna S.,0,,,,,,1,1,51%,55% (21/38),59% (22/37),43% (3/7),24% (11/45),57% (12/21),50% (2/4),57% (43/75),35% (23/66),47% (66/141),4,1,64% (7/11),20% (2/10),43% (9/21),"['3', '1']","['2', '3']",[],[],[],2.85
11.03.,Feldbausch K.,2,,,,,,0,2,57%,71% (20/28),62% (13/21),75% (3/4),45% (13/29),60% (15/25),83% (5/6),67% (33/49),52% (28/54),59% (61/103),8,0,88% (7/8),63% (5/8),75% (12/16),"['3', '2', '5', '2']","['1', '0', '4', '1', '5', '2']",[],[],[],1.77
11.03.,Vallejo D.,0,,,,,,0,5,54%,55% (16/29),40% (10/25),17% (1/6),29% (8/28),38% (8/21),25% (1/4),48% (26/54),33% (16/49),41% (42/103),2,0,38% (3/8),13% (1/8),25% (4/16),[],"['2', '4']",[],[],[],1.96
05.03.,Galan D. E.,2,,,,,,8,3,60%,75% (52/69),50% (23/46),73% (8/11),22% (13/60),51% (25/49),60% (3/5),65% (75/115),35% (38/109),50% (113/224),9,0,82% (14/17),18% (3/17),50% (17/34),"['4', '4']",[],"['4', '5', '6', '5']",[],[],1.45
05.03.,Vallejo D.,1,,,,,,3,9,55%,78% (47/60),49% (24/49),40% (2/5),25% (17/69),50% (23/46),27% (3/11),65% (71/109),35% (40/115),50% (111/224),1,0,82% (14/17),18% (3/17),50% (17/34),"['4', '3', '5', '4']",[],"['2', '0']",[],[],2.61
03.03.,Vallejo D.,2,,,,,,2,1,56%,79% (22/28),68% (15/22),0% (0/0),27% (9/33),65% (17/26),27% (3/11),73% (36/49),44% (26/59),57% (62/108),4,0,100% (9/9),38% (3/8),71% (12/17),"['6', '4']","['2', '0', '4', '0']",[],[],[],1.21
03.03.,Dutra Da Silva D.,0,,,,,,3,4,56%,73% (24/33),35% (9/26),73% (8/11),21% (6/28),32% (7/22),0% (0/0),56% (33/59),27% (13/49),43% (46/108),6,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],4.12
22.02.,Ficovich J. P.,2,,,,,,2,2,65%,81% (26/32),53% (9/17),100% (4/4),42% (13/31),57% (16/28),31% (4/13),71% (35/49),49% (29/59),59% (64/108),7,0,100% (8/8),44% (4/9),71% (12/17),"['2', '1', '5', '2']","['3', '2', '6', '3']",[],[],[],1.83
