Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,59/34,57/30,-,2/4,-,-
2024,11/5,11/5,-,-,-,-
2023,18/11,18/11,-,-,-,-
2022,13/8,11/6,-,2/2,-,-
2021,16/8,16/7,-,0/1,-,-
2018,1/2,1/1,-,0/1,-,-
