Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,129/105,17/17,102/83,6/3,1/2,3/0
2024,23/19,1/3,19/12,2/2,1/2,-
2023,28/24,2/5,20/18,4/1,-,2/0
2022,32/19,6/3,25/16,-,-,1/0
2021,17/13,8/6,9/7,-,-,-
2020,0/1,-,0/1,-,-,-
2019,22/16,-,22/16,-,-,-
2018,7/7,-,7/7,-,-,-
2017,0/6,-,0/6,-,-,-
