Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,27/24,6/4,17/15,-,-,4/5
2024,15/9,1/1,14/8,-,-,-
2023,5/7,-,1/2,-,-,4/5
2022,1/4,-,1/4,-,-,-
2021,2/1,2/1,-,-,-,-
2020,4/3,3/2,1/1,-,-,-
