Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,41/26,29/14,6/4,-,-,6/8
2024,23/8,23/8,-,-,-,-
2023,9/7,6/6,3/1,-,-,-
2022,6/5,-,3/3,-,-,3/2
2021,3/6,-,-,-,-,3/6
