Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,34/16,19/8,15/8,-,-,-
2024,13/6,7/3,6/3,-,-,-
2023,18/8,9/3,9/5,-,-,-
2022,3/2,3/2,-,-,-,-
