Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,325/235,39/30,257/178,26/22,0/2,3/3
2024,10/11,2/4,8/6,-,0/1,-
2023,15/20,2/4,13/15,0/1,-,-
2022,26/19,2/4,24/13,0/1,-,0/1
2021,4/7,-,2/6,1/1,-,1/0
2020,3/6,-,1/2,2/3,-,0/1
2019,40/24,1/1,33/21,5/2,-,1/0
2018,40/13,3/2,37/10,0/1,-,-
2017,7/2,-,7/2,-,-,-
2016,23/9,9/2,14/7,-,-,-
2015,18/17,2/2,16/14,-,-,0/1
2014,36/23,2/3,31/19,3/1,-,-
2013,29/24,0/1,23/19,5/4,-,1/0
2012,48/30,7/0,35/25,6/4,0/1,-
2011,19/22,9/7,6/12,4/3,-,-
2010,6/7,-,6/6,0/1,-,-
2009,1/1,-,1/1,-,-,-
