Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,31/23,-,13/14,-,-,18/9
2024,7/4,-,7/3,-,-,0/1
2023,13/6,-,2/2,-,-,11/4
2022,7/4,-,-,-,-,7/4
2021,4/9,-,4/9,-,-,-
