Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
08.07.,Suarez B.,2,,,,,,"['2', '0', '5', '1']","['1', '2', '2', '5']","['3', '3', '4', '4', '6', '4']",[],[],1.33
08.07.,Aleshchev A.,1,,,,,,[],"['2', '0', '3', '1', '5', '1']","['1', '0', '4', '3']",[],[],3.09
03.07.,Henning P.,2,,,,,,"['1', '0', '2', '1', '4', '1', '6', '1']","['2', '0', '3', '1', '6', '2']",[],[],[],1.02
03.07.,Aleshchev A.,0,,,,,,"['1', '1']","['1', '2']",[],[],[],9.50
02.07.,Aleshchev A.,2,,,,,,"['2', '0', '5', '1']","['3', '2']",[],[],[],4.75
02.07.,Sarksian D.,0,,,,,,[],[],[],[],[],1.15
19.06.,Gautier A.,1,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0']",[],[],[],1.05
19.06.,Aleshchev A.,0,,,,,,[],[],[],[],[],6.75
18.06.,Aleshchev A.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['3', '1', '6', '2']",[],[],[],1.03
18.06.,Robertsm J.,0,,,,,,"['2', '1']",[],[],[],[],10.50
28.05.,Lomakin G.,2,,,,,,"['1', '0', '3', '4', '5', '4']","['1', '0', '3', '2', '6', '3']",[],[],[],1.32
28.05.,Aleshchev A.,0,,,,,,"['2', '2', '4', '2']","['1', '1']",[],[],[],3.14
21.05.,Shin M.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '3', '2']",[],[],[],1.20
21.05.,Aleshchev A.,0,,,,,,[],"['2', '2']",[],[],[],4.13
21.02.,Faucon R.,2,,,,,,"['1', '0', '5', '2']","['4', '3']",[],[],[],1.37
21.02.,Aleshchev A.,0,,,,,,[],[],[],[],[],2.89
11.12.2024,De Klerk R.,2,,,,,,"['3', '3', '5', '5']","['1', '0']",[],[],[],3.04
11.12.2024,Aleshchev A.,0,,,,,,"['1', '0', '5', '4']","['5', '5']",[],[],[],1.34
04.12.2024,Henning P.,2,,,,,,"['1', '0', '5', '2']","['2', '3', '4', '3']",[],[],[],1.02
04.12.2024,Aleshchev A.,0,,,,,,[],"['3', '1']",[],[],[],10.00
28.11.2024,Duhan C.,2,,,,,,"['2', '1', '5', '2']","['2', '3', '4', '3', '6', '3']",[],[],[],1.36
28.11.2024,Aleshchev A.,0,,,,,,"['3', '5']","['3', '1']",[],[],[],2.94
27.11.2024,Aleshchev A.,2,,,,,,"['4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.26
27.11.2024,Chapuis A.,0,,,,,,[],[],[],[],[],3.54
19.11.2024,Anderson O.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.06
19.11.2024,Aleshchev A.,0,,,,,,[],[],[],[],[],7.50
05.11.2024,Beckley A.,2,,,,,,"['4', '2', '6', '4']","['3', '1']",[],[],[],1.06
05.11.2024,Aleshchev A.,0,,,,,,"['4', '5']",[],[],[],[],7.60
28.08.2024,Kimhi O.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.08
28.08.2024,Aleshchev A.,0,,,,,,[],[],[],[],[],6.96
13.08.2024,Izquierdo Luque R.,2,,,,,,"['1', '0', '3', '0', '5', '2', '6', '3']","['2', '0']","['1', '0', '3', '0', '5', '0']",[],[],1.10
13.08.2024,Aleshchev A.,1,,,,,,"['2', '4', '3', '5']","['1', '2']",[],[],[],6.26
24.07.2024,Dev S D P.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '3', '6', '5']",[],[],[],1.19
24.07.2024,Aleshchev A.,0,,,,,,[],"['2', '0']",[],[],[],4.27
17.05.2023,Eqbal I.,2,,,,,,[],[],[],[],[],1.05
17.05.2023,Aleshchev A.,0,,,,,,[],[],[],[],[],8.00
