Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,117/96,117/96,-,-,-,-
2024,16/19,16/19,-,-,-,-
2023,27/23,27/23,-,-,-,-
2022,34/23,34/23,-,-,-,-
2021,24/18,24/18,-,-,-,-
2020,6/7,6/7,-,-,-,-
2019,8/5,8/5,-,-,-,-
2018,2/1,2/1,-,-,-,-
