Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Beijing (China),hard,header
14.08. 07:05,Putintseva Y.,2,4,6,6,,,0,3,58%,65% (33/51),49% (18/37),50% (3/6),53% (18/34),70% (23/33),78% (7/9),9,58% (51/88),61% (41/67),59% (92/155),6,75% (9/12),64% (7/11),70% (16/23),"['2', '4']","['2', '0', '4', '0', '6', '0']","['1', '1', '3', '1', '5', '1']",[],[],1.36
14.08. 07:05,Dart H.,1,6,0,1,,,0,4,51%,47% (16/34),30% (10/33),22% (2/9),35% (18/51),51% (19/37),50% (3/6),4,39% (26/67),42% (37/88),41% (63/155),4,36% (4/11),25% (3/12),30% (7/23),"['2', '1', '4', '1']",[],"['1', '0']",[],[],3.19
WTA - SINGLES :  Wimbledon (United Kingdom),grass,header
08.07. 21:00,Putintseva Y.,0,2,3,,,,0,2,55%,54% (13/24),35% (7/20),17% (1/6),37% (15/41),52% (14/27),50% (2/4),8,9,0% (0/1),5,45% (20/44),43% (29/68),44% (49/112),2,38% (3/8),22% (2/9),29% (5/17),1257,"['2', '5']","['1', '0']",[],[],[],2.00
08.07. 21:00,Ostapenko J.,2,6,6,,,,3,4,60%,63% (26/41),48% (13/27),50% (2/4),46% (11/24),65% (13/20),83% (5/6),29,26,82% (9/11),7,57% (39/68),55% (24/44),56% (63/112),5,78% (7/9),63% (5/8),71% (12/17),1153,"['2', '0', '4', '0', '6', '2']","['1', '1', '4', '2']",[],[],[],1.83
06.07. 20:55,Putintseva Y.,2,3,6,6,,,0,4,73%,68% (42/62),52% (12/23),88% (7/8),38% (20/52),54% (14/26),50% (4/8),19,15,88% (7/8),7,64% (54/85),44% (34/78),54% (88/163),9,92% (11/12),33% (4/12),63% (15/24),2474,[],"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],8.01
06.07. 20:55,Swiatek I.,1,6,1,2,,,5,2,67%,62% (32/52),46% (12/26),50% (4/8),32% (20/62),48% (11/23),13% (1/8),34,38,56% (10/18),8,56% (44/78),36% (31/85),46% (75/163),3,67% (8/12),8% (1/12),38% (9/24),2360,"['4', '2']",[],[],[],[],1.09
04.07. 15:40,Putintseva Y.,2,6,4,6,,,1,0,61%,77% (33/43),63% (17/27),86% (6/7),31% (10/32),60% (18/30),71% (5/7),15,18,67% (2/3),13,71% (50/70),45% (28/62),59% (78/132),7,92% (11/12),42% (5/12),67% (16/24),2493,"['2', '0', '4', '0', '6', '0']",[],"['2', '0', '6', '2']",[],[],2.12
04.07. 15:40,Siniakova K.,1,0,6,2,,,1,3,52%,69% (22/32),40% (12/30),29% (2/7),23% (10/43),37% (10/27),14% (1/7),15,33,36% (4/11),7,55% (34/62),29% (20/70),41% (54/132),3,58% (7/12),8% (1/12),33% (8/24),2469,[],"['5', '4']",[],[],[],1.74
02.07. 22:40,Putintseva Y.,2,7,6,,,,2,1,67%,71% (34/48),63% (15/24),75% (3/4),30% (12/40),68% (13/19),60% (3/5),30,25,80% (4/5),9,68% (49/72),42% (25/59),56% (74/131),3,91% (10/11),30% (3/10),62% (13/21),1856,"['2', '0', '7', '5']","['5', '3']",[],[],[],1.50
02.07. 22:40,Kerber A.,0,5,3,,,,0,0,68%,70% (28/40),32% (6/19),40% (2/5),29% (14/48),38% (9/24),25% (1/4),15,23,33% (2/6),5,58% (34/59),32% (23/72),44% (57/131),3,70% (7/10),9% (1/11),38% (8/21),1770,"['2', '3']",[],[],[],[],2.63
WTA - SINGLES :  Birmingham (United Kingdom),grass,header
23.06. 16:40,Putintseva Y.,2,6,7^10,,,,4,1,65%,69% (24/35),74% (14/19),0% (0/2),35% (17/48),74% (17/23),56% (5/9),8,70% (38/54),48% (34/71),58% (72/125),6,78% (7/9),50% (5/10),63% (12/19),"['1', '0', '4', '1', '6', '1']","['2', '0', '5', '5']",[],[],[],1.59
23.06. 16:40,Tomljanovic A.,0,1,6^8,,,,4,6,68%,65% (31/48),26% (6/23),44% (4/9),31% (11/35),26% (5/19),100% (2/2),5,52% (37/71),30% (16/54),42% (53/125),3,50% (5/10),22% (2/9),37% (7/19),[],"['1', '2', '4', '3']",[],[],[],2.40
22.06. 15:40,Putintseva Y.,2,6,6,,,,4,1,72%,66% (27/41),50% (8/16),67% (4/6),53% (17/32),61% (17/28),60% (6/10),8,61% (35/57),57% (34/60),59% (69/117),9,75% (6/8),75% (6/8),75% (12/16),"['2', '0', '4', '2', '6', '2']","['2', '0', '4', '0', '6', '2']",[],[],[],1.82
22.06. 15:40,Cocciaretto E.,0,2,2,,,,1,3,53%,47% (15/32),39% (11/28),40% (4/10),34% (14/41),50% (8/16),33% (2/6),6,43% (26/60),39% (22/57),41% (48/117),2,25% (2/8),25% (2/8),25% (4/16),"['1', '2']","['2', '5']",[],[],[],2.02
21.06. 19:55,Putintseva Y.,2,6,6^2,6,,,2,2,64%,66% (35/53),53% (16/30),63% (5/8),45% (35/78),59% (16/27),40% (8/20),9,61% (51/83),49% (51/105),54% (102/188),5,77% (10/13),53% (8/15),64% (18/28),"['2', '1', '3', '2', '6', '3']","['5', '3']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],1.33
21.06. 19:55,Dolehide C.,1,3,7^7,1,,,1,4,74%,55% (43/78),41% (11/27),60% (12/20),34% (18/53),47% (14/30),38% (3/8),8,51% (54/105),39% (32/83),46% (86/188),2,47% (7/15),23% (3/13),36% (10/28),"['2', '2']","['4', '5']","['1', '5']",[],[],3.39
