Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,440/328,160/88,201/177,40/29,20/23,19/11
2024,35/19,9/4,18/12,-,8/1,0/2
2023,34/27,12/8,19/17,-,0/2,3/0
2022,26/21,14/7,9/11,-,1/2,2/1
2021,31/23,11/7,14/12,5/2,1/2,-
2020,22/12,4/2,16/7,0/1,-,2/2
2019,33/26,8/4,18/15,0/2,4/3,3/2
2018,26/25,6/6,12/14,3/2,2/2,3/1
2017,23/28,6/6,9/16,5/2,0/3,3/1
2016,29/27,10/5,17/17,1/1,1/3,0/1
2015,40/32,16/8,23/21,-,1/2,0/1
2014,42/32,26/13,10/16,3/3,-,3/0
2013,24/24,11/9,11/8,0/4,2/3,-
2012,35/17,12/5,12/6,11/6,-,-
2011,28/9,9/2,13/5,6/2,-,-
2010,10/5,6/2,-,4/3,-,-
2009,2/1,-,-,2/1,-,-
