Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,18/22,5/5,13/17,-,-,-
2024,3/3,1/1,2/2,-,-,-
2023,8/11,4/4,4/7,-,-,-
2022,7/8,-,7/8,-,-,-
