Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.06.,Delaney Je.,2,,,,,,"['1', '1', '4', '2']","['3', '5', '5', '5']","['3', '2']",[],[],-
11.06.,Suzuki K.,1,,,,,,"['1', '0', '3', '4', '6', '5']","['1', '0', '5', '2']",[],[],[],-
06.06.,Delaney Ja.,2,,,,,,"['3', '2', '6', '3']","['4', '2', '6', '2']",[],[],[],1.23
06.06.,Suzuki K.,0,,,,,,[],[],[],[],[],3.79
05.06.,Suzuki K.,2,,,,,,"['3', '3', '5', '3', '6', '4']","['3', '1']","['2', '0']",[],[],7.50
05.06.,Hara Friend J. D.,1,,,,,,"['3', '2', '4', '5']","['2', '3', '4', '3']",[],[],[],1.05
04.06.,Suzuki K.,2,,,,,,"['1', '1', '3', '1']","['2', '1', '6', '3']",[],[],[],1.67
04.06.,Hayashi K.,0,,,,,,"['1', '0']",[],[],[],[],2.10
30.10.2024,Henning P.,2,,,,,,"['3', '4', '5', '4', '6', '5']","['2', '1', '4', '1', '6', '1']",[],[],[],1.05
30.10.2024,Suzuki K.,0,,,,,,"['3', '1', '5', '5']",[],[],[],[],8.80
11.09.2024,Nakagawa S.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.31
11.09.2024,Suzuki K.,0,,,,,,"['2', '4']",[],[],[],[],3.24
12.05.2024,Bertola R.,2,,,,,,6,2,55%,91% (20/22),67% (12/18),0% (0/0),46% (17/37),71% (12/17),36% (4/11),80% (32/40),54% (29/54),65% (61/94),5,0,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],[],1.05
12.05.2024,Suzuki K.,0,,,,,,1,0,69%,54% (20/37),29% (5/17),64% (7/11),9% (2/22),33% (6/18),0% (0/0),46% (25/54),20% (8/40),35% (33/94),5,1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],9.15
28.12.2023,Lee D. H.,2,,,,,,[],[],[],[],[],1.31
28.12.2023,Suzuki K.,0,,,,,,[],[],[],[],[],3.24
27.12.2023,Suzuki K.,2,,,,,,[],[],[],[],[],2.34
27.12.2023,Miyoshi K.,0,,,,,,[],[],[],[],[],1.55
21.12.2023,Shin S.,2,,,,,,[],[],[],[],[],1.29
21.12.2023,Suzuki K.,0,,,,,,[],[],[],[],[],3.37
01.06.2023,Kawachi K.,2,,,,,,[],[],[],[],[],2.01
01.06.2023,Suzuki K.,1,,,,,,[],[],[],[],[],1.72
31.05.2023,Suzuki K.,2,,,,,,[],[],[],[],[],1.88
31.05.2023,Sueoka Y.,1,,,,,,[],[],[],[],[],1.83
