Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,403/299,136/77,221/184,13/11,26/22,7/5
2024,19/22,9/6,8/13,-,2/3,-
2023,25/20,13/5,11/14,-,1/1,-
2022,18/17,5/6,13/9,-,0/2,-
2021,26/22,11/6,13/15,-,2/1,-
2020,11/20,2/4,8/15,-,-,1/1
2019,24/19,10/4,10/13,-,2/2,2/0
2018,37/19,10/5,21/10,4/3,0/1,2/0
2017,15/10,-,15/5,0/2,0/1,0/2
2016,22/10,9/3,10/6,-,2/1,1/0
2015,32/20,8/5,19/12,0/1,5/2,-
2014,23/21,6/6,11/10,2/1,3/3,1/1
2013,39/23,7/5,24/14,4/2,4/1,0/1
2012,27/21,11/8,14/11,0/1,2/1,-
2011,30/20,16/5,11/12,-,3/3,-
2010,31/17,13/6,15/10,3/1,-,-
2009,3/5,-,3/5,-,-,-
2008,15/11,0/1,15/10,-,-,-
2007,6/2,6/2,-,-,-,-
