Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,197/155,179/135,6/8,5/8,-,7/4
2024,23/24,21/22,-,2/2,-,-
2023,47/30,47/28,0/1,0/1,-,-
2022,30/32,19/25,2/2,2/2,-,7/3
2021,19/21,16/17,2/3,1/1,-,-
2020,10/12,10/9,-,0/2,-,0/1
2019,34/21,34/20,0/1,-,-,-
2018,31/14,29/13,2/1,-,-,-
2017,3/1,3/1,-,-,-,-
