Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,43/85,6/15,36/63,-,-,1/7
2024,3/8,1/4,1/2,-,-,1/2
2023,1/3,-,1/1,-,-,0/2
2022,5/11,4/6,1/4,-,-,0/1
2020,0/4,0/2,0/2,-,-,-
2019,10/18,-,10/18,-,-,-
2018,14/16,-,14/16,-,-,-
2017,1/4,1/2,0/2,-,-,-
2016,3/12,0/1,3/9,-,-,0/2
2015,2/7,-,2/7,-,-,-
2014,4/2,-,4/2,-,-,-
