Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,9/14,-,6/7,3/5,0/2,-
2024,5/5,-,5/3,0/1,0/1,-
2023,2/5,-,1/3,1/2,-,-
2022,2/4,-,0/1,2/2,0/1,-
