Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,63/55,16/20,29/23,-,-,18/12
2024,12/12,5/4,6/6,-,-,1/2
2023,4/11,2/5,2/6,-,-,-
2022,31/18,2/3,12/5,-,-,17/10
2021,16/14,7/8,9/6,-,-,-
