Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,41/12,-,35/9,4/2,2/1,-
2024,14/4,-,14/4,-,-,-
2023,17/3,-,17/3,-,-,-
2022,10/5,-,4/2,4/2,2/1,-
