Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,877/321,137/67,421/150,156/60,130/41,33/3
2024,8/14,1/3,6/7,0/2,1/2,-
2023,33/19,5/4,15/10,1/2,11/3,1/0
2022,30/21,2/0,12/11,5/6,10/4,1/0
2021,22/17,-,7/6,12/9,3/2,-
2020,7/6,0/1,3/2,4/3,-,-
2019,13/8,-,7/8,5/0,-,1/0
2018,7/6,-,6/4,-,1/2,-
2017,26/11,9/5,13/4,-,4/2,-
2016,80/10,18/3,34/6,13/0,12/0,3/1
2015,77/14,15/1,34/8,10/4,10/1,8/0
2014,61/24,8/3,31/14,14/4,5/2,3/1
2013,43/9,3/3,26/6,-,12/0,2/0
2012,57/19,9/5,33/7,3/3,12/4,-
2011,59/13,12/4,25/5,9/3,9/1,4/0
2010,50/19,6/4,30/8,8/5,6/2,-
2009,69/12,9/5,35/4,13/2,10/1,2/0
2008,60/17,7/5,33/9,12/2,6/1,2/0
2007,45/15,0/2,22/9,20/4,-,3/0
2006,40/25,2/5,19/12,8/4,8/4,3/0
2005,49/24,11/10,25/7,8/3,5/3,0/1
2004,25/7,17/2,5/0,2/2,1/3,-
2003,16/9,3/1,0/3,9/2,4/3,-
2002,0/2,0/1,-,-,0/1,-
