Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,516/376,415/271,77/78,4/5,8/11,12/11
2024,33/20,30/16,0/2,-,1/2,2/0
2023,41/31,36/23,3/7,-,0/1,2/0
2022,43/34,27/16,8/8,4/5,3/2,1/3
2021,33/27,25/18,8/8,-,0/1,-
2020,27/18,20/9,7/7,-,-,0/2
2019,49/30,37/20,6/7,-,3/2,3/1
2018,35/36,29/29,4/4,-,0/1,2/2
2017,30/36,20/20,7/13,-,1/1,2/2
2016,51/27,47/19,4/6,-,0/1,0/1
2015,33/22,33/22,-,-,-,-
2014,34/19,33/18,1/1,-,-,-
2013,51/24,32/19,19/5,-,-,-
2012,35/23,33/20,2/3,-,-,-
2011,14/13,9/11,5/2,-,-,-
2010,5/9,4/7,1/2,-,-,-
2009,2/4,0/2,2/2,-,-,-
2008,0/3,0/2,0/1,-,-,-
