https://www.tennisexplorer.com/res/img/player/OGsrIGaR-2koK4co3.jpeg
Monteiro Thiago
Country: Brazil
Height / Weight: 183 cm / 78 kg
Age: 30 (31. 5. 1994)
Current/Highest rank - singles: 75. / 61.
Current/Highest rank - doubles: - / 74.
Sex: man
Plays: left
