https://www.tennisexplorer.com/res/img/player/Srkn8rH4-CATFiMbO.jpeg
Papadakis Lena
Country: Germany
Age: 26 (23. 8. 1998)
Current/Highest rank - singles: 546. / 250.
Current/Highest rank - doubles: 129. / 129.
Sex: woman
Plays: right
