Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,46/77,4/8,40/66,-,2/3,-
2024,0/1,-,-,-,0/1,-
2023,13/19,2/2,9/15,-,2/2,-
2022,20/29,0/1,20/28,-,-,-
2021,11/21,-,11/21,-,-,-
2020,1/3,1/1,0/2,-,-,-
2018,1/4,1/4,-,-,-,-
