Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,60/52,20/19,40/33,-,-,-
2024,23/17,6/5,17/12,-,-,-
2023,21/20,8/8,13/12,-,-,-
2022,13/14,6/6,7/8,-,-,-
2021,3/1,-,3/1,-,-,-
