Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,25/22,5/8,18/12,2/2,-,-
2024,1/2,-,1/2,-,-,-
2023,11/10,3/4,6/4,2/2,-,-
2022,7/6,2/4,5/2,-,-,-
2021,6/4,-,6/4,-,-,-
