Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,464/339,190/106,165/150,61/47,39/29,9/7
2024,17/21,8/8,7/9,0/1,2/3,-
2023,26/22,8/4,8/13,5/2,5/3,-
2022,33/21,15/5,9/9,3/2,3/3,3/2
2021,15/21,6/5,7/12,0/1,2/3,-
2020,14/11,6/4,8/6,0/1,-,-
2019,35/17,15/3,13/11,1/1,6/2,-
2018,35/20,8/5,21/9,5/3,1/3,-
2017,33/10,25/4,1/2,1/2,6/2,-
2016,10/9,4/3,3/3,2/1,1/2,-
2015,37/22,13/6,17/10,5/3,2/3,-
2014,25/27,5/5,17/17,2/3,0/1,1/1
2013,23/23,4/7,5/9,5/5,9/2,-
2012,22/22,5/5,9/9,7/5,0/1,1/2
2011,32/23,7/9,18/10,6/3,1/1,-
2010,17/23,4/9,9/10,1/3,1/0,2/1
2009,39/18,21/8,11/7,5/2,-,2/1
2008,19/13,13/5,2/2,4/6,-,-
2007,24/11,15/6,0/2,9/3,-,-
2006,5/3,5/3,-,-,-,-
2005,3/2,3/2,-,-,-,-
