Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,429/314,198/146,160/91,49/57,5/12,17/8
2024,14/21,9/10,2/5,1/2,0/1,2/3
2023,43/36,25/20,9/9,4/5,0/2,5/0
2022,27/31,11/12,11/9,4/7,1/3,-
2021,29/25,15/12,11/7,3/6,-,-
2020,18/11,8/3,1/2,7/5,-,2/1
2019,26/33,11/14,12/11,1/3,1/2,1/3
2018,43/34,14/12,18/11,7/8,2/2,2/1
2017,32/29,12/10,13/10,4/7,1/2,2/0
2016,58/30,34/19,9/3,15/8,-,-
2015,55/18,19/9,33/5,3/4,-,-
2014,42/20,20/12,19/8,-,-,3/0
2013,26/13,10/8,16/4,0/1,-,-
2012,16/11,10/5,6/6,-,-,-
2011,0/2,-,0/1,0/1,-,-
