Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,35/16,-,24/9,11/7,-,-
2024,26/10,-,22/8,4/2,-,-
2023,2/1,-,2/1,-,-,-
2022,1/1,-,-,1/1,-,-
2021,6/4,-,-,6/4,-,-
