Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,45/41,-,35/32,-,1/2,9/7
2024,10/5,-,10/5,-,-,-
2023,9/7,-,-,-,-,9/7
2022,4/2,-,4/2,-,-,-
2021,4/8,-,4/8,-,-,-
2020,16/15,-,16/15,-,-,-
2019,1/2,-,1/2,-,-,-
2018,1/2,-,-,-,1/2,-
