Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,224/189,203/164,20/22,1/3,-,-
2024,2/5,2/5,-,-,-,-
2023,32/31,32/29,0/2,-,-,-
2022,28/24,28/22,0/2,-,-,-
2021,37/21,35/20,2/1,-,-,-
2020,8/12,8/9,0/3,-,-,-
2019,15/11,15/11,-,-,-,-
2018,27/23,12/13,15/10,-,-,-
2017,44/27,40/20,3/4,1/3,-,-
2016,11/14,11/14,-,-,-,-
2015,9/10,9/10,-,-,-,-
2014,9/9,9/9,-,-,-,-
2013,2/1,2/1,-,-,-,-
2012,0/1,0/1,-,-,-,-
