Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,443/234,264/105,120/86,37/29,20/11,2/3
2024,18/11,3/5,6/4,-,9/2,-
2023,34/19,4/4,23/12,-,5/2,2/1
2022,25/15,2/3,12/10,9/0,2/2,-
2021,45/17,15/3,27/13,-,3/1,-
2020,38/16,23/6,9/6,6/2,-,0/2
2019,27/8,22/3,2/4,3/1,-,-
2018,21/18,11/6,10/12,-,-,-
2017,31/21,19/7,9/8,2/5,1/1,-
2016,25/24,15/13,8/5,2/4,0/2,-
2015,30/36,24/17,5/7,1/11,0/1,-
2014,50/18,31/10,9/5,10/3,-,-
2013,51/11,51/11,-,-,-,-
2012,23/9,19/7,-,4/2,-,-
2011,20/8,20/7,-,0/1,-,-
2010,5/3,5/3,-,-,-,-
