Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,88/70,62/52,25/13,1/5,-,-
2024,28/17,16/14,12/3,-,-,-
2023,29/20,29/18,0/1,0/1,-,-
2022,21/20,7/11,13/7,1/2,-,-
2021,7/9,7/5,0/2,0/2,-,-
2019,0/2,0/2,-,-,-,-
2018,3/2,3/2,-,-,-,-
