https://www.tennisexplorer.com/res/img/player/AZ6lD7dg-rRX7fAS9.jpeg
Rottgering Mees
Country: Netherlands
Age: 17 (7. 7. 2007)
Current/Highest rank - singles: 818. / 816.
Current/Highest rank - doubles: 985. / 981.
Sex: man
Plays: left
