Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,119/83,75/56,44/27,-,-,-
2024,35/23,34/20,1/3,-,-,-
2023,52/30,20/16,32/14,-,-,-
2022,28/22,19/15,9/7,-,-,-
2021,2/3,-,2/3,-,-,-
2020,2/5,2/5,-,-,-,-
