Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.08.,Sheehy J.,2,,,,,,9,4,65%,71% (25/35),32% (6/19),50% (3/6),55% (21/38),55% (12/22),67% (6/9),35,30,55% (12/22),57% (31/54),55% (33/60),56% (64/114),5,0,67% (6/9),60% (6/10),63% (12/19),"['2', '1', '4', '3', '6', '3']","['2', '0', '4', '2', '6', '4']",[],[],[],18.0
11.08.,Castaneda M.,0,,,,,,1,4,63%,45% (17/38),45% (10/22),33% (3/9),29% (10/35),68% (13/19),50% (3/6),10,14,100% (1/1),45% (27/60),43% (23/54),44% (50/114),5,1,40% (4/10),33% (3/9),37% (7/19),"['2', '2']","['1', '2', '4', '5']",[],[],[],1.59
10.08.,Castaneda M.,2,,,,,,0,4,65%,69% (25/36),53% (10/19),50% (2/4),52% (15/29),56% (9/16),56% (5/9),7,11,40% (2/5),64% (35/55),53% (24/45),59% (59/100),7,0,78% (7/9),63% (5/8),71% (12/17),"['2', '0', '3', '1', '4', '2']","['2', '1', '5', '2']",[],[],[],1.65
10.08.,Beltran Rubio M.,0,,,,,,0,3,64%,48% (14/29),44% (7/16),44% (4/9),31% (11/36),47% (9/19),50% (2/4),17,32,80% (12/15),47% (21/45),36% (20/55),41% (41/100),3,0,38% (3/8),22% (2/9),29% (5/17),"['1', '2', '2', '3']",[],[],[],[],19.0
09.07.,Pereira J.,2,,,,,,[],"['3', '1']","['2', '1']",[],[],1.06
09.07.,Castaneda M.,1,,,,,,"['3', '1']","['2', '3']",[],[],[],7.50
07.07.,Castaneda M.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '2', '5', '2']",[],[],[],1.19
07.07.,Sonne T.,0,,,,,,[],"['2', '2']",[],[],[],4.19
17.06.,Dinev D.,2,,,,,,"['2', '2', '3', '3', '5', '3', '6', '4']","['2', '0', '4', '2', '5', '3']",[],[],[],-
17.06.,Castaneda M.,0,,,,,,"['2', '1', '3', '2', '4', '5']","['1', '2', '3', '4']",[],[],[],-
11.06.,Azkara A.,2,,,,,,"['4', '2']","['3', '2', '5', '2']",[],[],[],1.10
11.06.,Castaneda M.,0,,,,,,[],[],[],[],[],5.75
27.05.,Horoz A.,2,,,,,,[],"['2', '0', '4', '0']","['2', '3', '4', '3']",[],[],1.42
27.05.,Castaneda M.,1,,,,,,"['2', '0']",[],"['2', '0']",[],[],2.69
11.05.,Gomez J. S.,2,,,,,,2,7,63%,66% (33/50),52% (15/29),75% (9/12),43% (16/37),55% (21/38),45% (5/11),61% (48/79),49% (37/75),55% (85/154),5,0,73% (8/11),45% (5/11),59% (13/22),"['4', '4', '7', '5']","['2', '2', '5', '3', '6', '4']",[],[],[],1.28
11.05.,Castaneda M.,0,,,,,,0,6,49%,57% (21/37),45% (17/38),55% (6/11),34% (17/50),48% (14/29),25% (3/12),51% (38/75),39% (31/79),45% (69/154),5,3,55% (6/11),27% (3/11),41% (9/22),"['2', '1']","['1', '0', '4', '5']",[],[],[],3.47
12.03.,Osorio J. S.,2,,,,,,"['4', '5']","['2', '2', '4', '2']",[],[],[],1.16
12.03.,Castaneda M.,0,,,,,,"['5', '3']","['2', '1']",[],[],[],4.67
