Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,22/22,15/14,7/8,-,-,-
2024,17/12,11/7,6/5,-,-,-
2023,0/2,0/2,-,-,-,-
2022,1/5,0/2,1/3,-,-,-
2021,4/3,4/3,-,-,-,-
