Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,237/154,188/116,23/13,4/7,-,22/18
2024,19/15,17/12,-,-,-,2/3
2023,31/19,12/7,-,0/1,-,19/11
2022,14/17,13/13,-,-,-,1/4
2021,18/17,18/16,0/1,-,-,-
2020,6/7,6/6,-,0/1,-,-
2019,29/20,26/15,2/4,1/1,-,-
2018,20/9,5/4,15/4,0/1,-,-
2017,12/10,8/9,4/1,-,-,-
2016,51/21,48/18,-,3/3,-,-
2015,15/10,13/7,2/3,-,-,-
2014,20/8,20/8,-,-,-,-
2013,2/1,2/1,-,-,-,-
