Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,144/136,125/99,9/17,4/11,-,6/9
2024,23/22,23/22,-,-,-,-
2023,38/34,29/15,3/7,2/6,-,4/6
2022,27/30,19/16,6/10,0/1,-,2/3
2021,27/21,26/20,-,1/1,-,-
2020,8/7,8/7,-,-,-,-
2019,15/11,15/10,-,0/1,-,-
2018,3/8,2/6,-,1/2,-,-
2017,3/3,3/3,-,-,-,-
