Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.07.,Cassone M.,2,,,,,,2,9,58%,70% (32/46),45% (15/33),67% (8/12),37% (16/43),61% (27/44),36% (5/14),23,53,50% (3/6),59% (47/79),49% (43/87),54% (90/166),7,0,69% (9/13),42% (5/12),56% (14/25),"['3', '1', '5', '1']","['1', '0']","['2', '1', '4', '1']",[],[],1.13
13.07.,Zhu E.,1,,,,,,2,6,49%,63% (27/43),39% (17/44),64% (9/14),30% (14/46),55% (18/33),33% (4/12),14,42,58% (7/12),51% (44/87),41% (32/79),46% (76/166),3,1,58% (7/12),31% (4/13),44% (11/25),[],"['1', '1', '3', '1', '6', '2']","['3', '5']",[],[],6.02
07.07.,Spizzirri E.,2,,,,,,10,1,75%,73% (30/41),36% (5/14),33% (1/3),52% (17/33),60% (15/25),83% (5/6),22,16,67% (4/6),64% (35/55),55% (32/58),59% (67/113),5,0,80% (8/10),50% (5/10),65% (13/20),"['1', '0', '4', '3', '6', '5']","['1', '0', '3', '0']",[],[],[],1.10
07.07.,Zhu E.,0,,,,,,2,3,57%,48% (16/33),40% (10/25),17% (1/6),27% (11/41),64% (9/14),67% (2/3),14,26,58% (7/12),45% (26/58),36% (20/55),41% (46/113),5,3,50% (5/10),20% (2/10),35% (7/20),"['2', '2', '5', '5']",[],[],[],[],5.90
01.07.,Dickerson R.,2,,,,,,"['1', '1', '2', '2', '4', '2']","['3', '2', '4', '3', '5', '4']",[],[],[],2.37
01.07.,Zhu E.,0,,,,,,"['1', '0', '2', '1']","['3', '3', '4', '4']",[],[],[],1.53
20.06.,Kumasaka T.,2,,,,,,"['3', '4', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.44
20.06.,Zhu E.,0,,,,,,"['4', '2']",[],[],[],[],2.62
19.06.,Zhu E.,2,,,,,,"['4', '5']",[],[],[],[],2.24
19.06.,Isomura K.,0,,,,,,"['2', '0']",[],[],[],[],1.59
17.06.,Zhu E.,2,,,,,,[],"['2', '0', '4', '0']","['3', '2', '6', '3']",[],[],3.09
17.06.,Santillan A.,1,,,,,,[],[],[],[],[],1.33
13.06.,Vishwakarma S.,2,,,,,,"['5', '3']","['2', '3']","['3', '2']",[],[],2.09
13.06.,Zhu E.,1,,,,,,[],"['3', '1', '4', '2', '6', '2']",[],[],[],1.68
12.06.,Zhu E.,1,,,,,,"['6', '5']","['1', '0', '3', '0']",[],[],[],3.79
12.06.,Te R.,0,,,,,,[],[],[],[],[],1.23
10.06.,Zhu E.,2,,,,,,[],"['2', '1', '5', '4']","['1', '0', '4', '5']",[],[],1.68
10.06.,Chappell N.,1,,,,,,"['3', '1', '6', '2']","['4', '4']","['2', '2', '5', '3']",[],[],2.06
06.06.,Chung Y.,2,,,,,,"['3', '1', '6', '2']","['5', '3']",[],[],[],1.33
06.06.,Zhu E.,0,,,,,,[],[],[],[],[],3.09
05.06.,Zhu E.,2,,,,,,[],"['4', '2', '5', '3', '6', '4']","['2', '0', '4', '2', '6', '4']",[],[],3.46
05.06.,Nam Ji S.,1,,,,,,"['2', '1', '4', '1']","['3', '4', '4', '5']","['1', '2', '4', '5']",[],[],1.27
04.06.,Zhu E.,2,,,,,,"['3', '3', '6', '4']","['2', '0', '5', '1']",[],[],[],1.26
04.06.,Ogura K.,0,,,,,,"['2', '1']",[],[],[],[],3.54
28.05.,Lee J. M.,2,,,,,,"['3', '3', '5', '3']",[],"['2', '0', '3', '1', '7', '5']",[],[],1.32
28.05.,Zhu E.,1,,,,,,"['2', '1']","['5', '3']","['1', '2', '2', '3']",[],[],3.14
