Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Sun F.,2,,,,,,9,8,48%,92% (33/36),56% (22/39),0% (0/1),24% (12/50),55% (26/47),50% (2/4),73% (55/75),39% (38/97),54% (93/172),6,0,93% (13/14),14% (2/14),54% (15/28),[],"['5', '3']","['1', '0']",[],[],1.34
26.08.,Mo Y. C.,1,,,,,,4,6,52%,76% (38/50),45% (21/47),50% (2/4),8% (3/36),44% (17/39),100% (1/1),61% (59/97),27% (20/75),46% (79/172),4,0,86% (12/14),7% (1/14),46% (13/28),"['4', '2']",[],[],[],[],3.10
15.08.,Shin S.,2,,,,,,"['5', '4']",[],"['2', '1', '6', '5']",[],[],19.5
15.08.,Mo Y. C.,1,,,,,,[],"['4', '2', '6', '2']","['2', '2']",[],[],1.59
14.08.,Mo Y. C.,2,,,,,,"['2', '0', '5', '1']","['1', '0']",[],[],[],1.64
14.08.,Hongyu Y.,0,,,,,,[],[],[],[],[],18.0
13.08.,Mo Y. C.,2,,,,,,"['4', '2']","['2', '1', '4', '1', '5', '2', '6', '3']",[],[],[],1.74
13.08.,Dong Z.,0,,,,,,[],"['2', '4', '3', '5']",[],[],[],19.0
18.06.,Chanta T.,1,,,,,,"['1', '0']","['1', '3', '5', '5', '6', '6']",[],[],[],2.04
18.06.,Mo Y. C.,0,,,,,,"['3', '3']","['1', '0', '3', '0', '6', '5']",[],[],[],1.69
12.06.,Vishwakarma S.,2,,,,,,"['3', '1']","['2', '1']",[],[],[],-
12.06.,Mo Y. C.,0,,,,,,[],[],[],[],[],-
11.06.,Mo Y. C.,2,,,,,,"['2', '0']","['1', '0', '3', '0']",[],[],[],2.42
11.06.,Shin W.,0,,,,,,[],[],[],[],[],1.51
29.05.,Sumizawa D.,1,,,,,,[],"['1', '1', '4', '2', '5', '3']","['3', '2']",[],[],2.32
29.05.,Mo Y. C.,1,,,,,,"['5', '4']","['1', '0', '3', '4']",[],[],[],1.55
28.05.,Mo Y. C.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['3', '1', '6', '4']",[],[],[],1.06
28.05.,Ye X.,0,,,,,,[],"['3', '4']",[],[],[],7.20
20.05.,Yamasaki J.,1,,,,,,"['6', '6']",[],[],[],[],2.06
20.05.,Mo Y. C.,0,,,,,,"['6', '5']",[],[],[],[],1.68
04.05.,Mochizuki Y.,2,,,,,,7,2,66%,67% (33/49),52% (13/25),88% (7/8),28% (9/32),52% (15/29),100% (3/3),62% (46/74),39% (24/61),52% (70/135),6,0,90% (9/10),30% (3/10),60% (12/20),"['4', '3']","['1', '0', '5', '4']",[],[],[],2.01
04.05.,Mo Y. C.,0,,,,,,4,2,52%,72% (23/32),48% (14/29),0% (0/3),33% (16/49),48% (12/25),13% (1/8),61% (37/61),38% (28/74),48% (65/135),4,2,70% (7/10),10% (1/10),40% (8/20),[],"['2', '2']",[],[],[],1.73
29.04.,Simakin I.,2,,,,,,13,3,55%,88% (36/41),47% (16/34),88% (7/8),41% (12/29),41% (11/27),50% (3/6),69% (52/75),41% (23/56),57% (75/131),7,0,90% (9/10),33% (3/9),63% (12/19),"['3', '1', '5', '1']","['3', '4']",[],[],[],1.17
29.04.,Mo Y. C.,0,,,,,,6,1,52%,59% (17/29),59% (16/27),50% (3/6),12% (5/41),53% (18/34),13% (1/8),59% (33/56),31% (23/75),43% (56/131),3,2,67% (6/9),10% (1/10),37% (7/19),[],"['4', '2']",[],[],[],4.61
28.04.,Mo Y. C.,2,,,,,,3,3,47%,75% (21/28),55% (17/31),83% (5/6),32% (8/25),56% (15/27),50% (4/8),64% (38/59),44% (23/52),55% (61/111),7,0,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '4', '1']","['2', '1', '5', '4']",[],[],[],2.69
28.04.,Samrej K.,0,,,,,,7,2,48%,68% (17/25),44% (12/27),50% (4/8),25% (7/28),45% (14/31),17% (1/6),56% (29/52),36% (21/59),45% (50/111),3,0,56% (5/9),11% (1/9),33% (6/18),[],"['2', '2']",[],[],[],1.43
27.04.,Mo Y. C.,2,,,,,,5,9,48%,70% (35/50),56% (31/55),64% (7/11),35% (23/65),53% (25/47),31% (5/16),63% (66/105),43% (48/112),53% (114/217),8,1,73% (11/15),33% (5/15),53% (16/30),"['1', '1', '3', '3']","['3', '3']","['1', '0', '5', '2']",[],[],1.14
27.04.,Delaney Je.,1,,,,,,1,4,58%,65% (42/65),47% (22/47),69% (11/16),30% (15/50),44% (24/55),36% (4/11),57% (64/112),37% (39/105),47% (103/217),2,0,67% (10/15),27% (4/15),47% (14/30),"['1', '0', '3', '2', '4', '3']","['2', '1']",[],[],[],5.15
23.04.,Ivashka I.,2,,,,,,"['1', '0', '5', '2', '6', '5']","['1', '0', '3', '0', '5', '2']",[],[],[],1.40
23.04.,Mo Y. C.,0,,,,,,"['3', '5', '5', '5']","['1', '3']",[],[],[],2.77
17.04.,Kim G. J.,2,,,,,,"['2', '2']",[],"['3', '2', '4', '3', '6', '3']",[],[],4.75
17.04.,Mo Y. C.,1,,,,,,"['2', '1']","['2', '0', '6', '2']","['3', '3']",[],[],1.15
15.04.,Mo Y. C.,2,,,,,,"['4', '3']","['1', '4']","['6', '4']",[],[],1.87
15.04.,Sinclair C.,1,,,,,,[],"['2', '0', '4', '0']",[],[],[],1.83
10.04.,Santillan A.,2,,,,,,"['4', '2']","['3', '2', '4', '3', '5', '4']",[],[],[],1.34
10.04.,Mo Y. C.,0,,,,,,"['3', '4']","['3', '3', '4', '4', '5', '5']",[],[],[],3.04
09.04.,Mo Y. C.,2,,,,,,"['5', '4']","['3', '2', '5', '2']",[],[],[],1.21
09.04.,Park M.,0,,,,,,[],"['3', '5']",[],[],[],4.04
22.03.,Bai Y.,2,,,,,,"['4', '2']","['1', '0', '6', '3']",[],[],[],1.20
22.03.,Mo Y. C.,0,,,,,,[],[],[],[],[],4.14
21.03.,Mo Y. C.,2,,,,,,"['3', '2']","['3', '3', '5', '3', '6', '4']",[],[],[],2.50
21.03.,Tokuda R.,0,,,,,,"['3', '3']","['1', '0', '4', '5']",[],[],[],1.48
20.03.,Mo Y. C.,2,,,,,,"['3', '1']","['1', '0', '2', '1', '4', '1']",[],[],[],1.99
20.03.,Matsuda R.,0,,,,,,[],"['1', '1', '3', '5']",[],[],[],1.73
19.03.,Mo Y. C.,2,,,,,,"['1', '0']","['4', '3', '6', '3']",[],[],[],2.24
