Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,252/239,56/59,175/156,16/15,-,5/9
2024,24/24,0/2,24/22,-,-,-
2023,43/33,6/3,30/20,2/4,-,5/6
2022,20/25,6/6,8/14,6/2,-,0/3
2021,31/24,1/6,30/18,-,-,-
2020,14/14,11/10,3/4,-,-,-
2019,15/29,2/9,13/20,-,-,-
2018,26/33,0/1,24/27,2/5,-,-
2017,47/29,12/7,35/21,0/1,-,-
2016,21/14,9/3,6/8,6/3,-,-
2012,1/2,0/1,1/1,-,-,-
2011,9/10,9/10,-,-,-,-
2010,0/1,0/1,-,-,-,-
2009,1/1,-,1/1,-,-,-
