Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,108/93,65/50,42/39,1/4,-,-
2024,27/26,15/11,12/13,0/2,-,-
2023,41/30,28/23,13/6,0/1,-,-
2022,28/23,20/10,8/13,-,-,-
2021,12/14,2/6,9/7,1/1,-,-
