Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,586/315,125/66,313/165,94/59,46/23,8/2
2024,2/6,1/5,0/1,-,-,1/0
2023,16/14,0/2,9/10,4/0,3/2,-
2022,6/8,-,5/6,1/2,-,-
2021,27/16,9/4,8/7,7/3,3/2,-
2020,18/10,2/2,9/4,7/4,-,-
2019,11/11,4/6,4/3,3/2,-,-
2018,26/20,1/3,11/11,11/5,3/1,-
2017,21/8,-,21/7,0/1,-,-
2015,7/8,-,6/7,1/1,-,-
2014,5/5,-,3/4,-,2/1,-
2012,11/9,2/2,5/5,-,4/2,-
2011,58/22,8/4,40/12,4/4,4/2,2/0
2010,50/18,6/4,37/12,1/0,6/2,-
2009,35/15,1/1,31/12,1/1,2/1,-
2008,64/22,16/4,38/13,7/3,1/2,2/0
2007,30/14,4/1,16/7,10/6,-,-
2006,37/22,5/5,18/12,7/3,7/2,-
2005,21/21,7/6,6/9,6/4,2/2,-
2004,53/27,12/6,27/11,7/8,5/2,2/0
2003,46/24,21/6,14/8,7/7,3/1,1/2
2002,41/14,26/5,5/4,9/4,1/1,-
2000,1/1,-,-,1/1,-,-
