Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,201/125,19/13,166/88,16/24,-,-
2024,48/23,-,45/18,3/5,-,-
2023,55/39,-,46/31,9/8,-,-
2022,65/38,17/10,46/24,2/4,-,-
2021,31/21,2/3,28/14,1/4,-,-
2020,2/4,-,1/1,1/3,-,-
