Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
22.08.,Echargui M.,2,,,,,,1,3,31%,63% (10/16),57% (20/35),0% (0/2),49% (20/41),84% (16/19),45% (5/11),9,27,80% (4/5),59% (30/51),57% (33/58),58% (63/109),7,0,78% (7/9),63% (5/8),71% (12/17),"['3', '1', '6', '4']","['2', '0', '3', '1', '5', '1']",[],[],[],1.52
22.08.,Bertrand R.,0,,,,,,0,7,68%,54% (22/41),16% (3/19),55% (6/11),63% (10/16),43% (15/35),100% (2/2),8,42,75% (3/4),43% (25/58),41% (21/51),42% (46/109),3,3,38% (3/8),22% (2/9),29% (5/17),"['4', '5']","['1', '2']",[],[],[],2.54
21.08.,Bertrand R.,2,,,,,,1,13,49%,62% (34/55),46% (26/57),70% (14/20),43% (32/75),55% (27/49),33% (7/21),37,75,83% (19/23),54% (60/112),48% (59/124),50% (119/236),8,0,63% (10/16),44% (7/16),53% (17/32),"['2', '3', '3', '4']","['2', '1', '6', '5']","['1', '0', '4', '3', '5', '4']",[],[],2.48
21.08.,Paul J.,1,,,,,,0,6,60%,57% (43/75),45% (22/49),67% (14/21),38% (21/55),54% (31/57),30% (6/20),23,57,64% (9/14),52% (65/124),46% (52/112),50% (117/236),2,0,56% (9/16),38% (6/16),47% (15/32),"['2', '0', '4', '2', '6', '4']","['4', '4']","['2', '2', '4', '4']",[],[],1.50
20.08.,Bertrand R.,2,,,,,,0,6,55%,48% (20/42),43% (15/35),53% (8/15),43% (24/56),69% (27/39),57% (8/14),13,55,60% (6/10),45% (35/77),54% (51/95),50% (86/172),8,0,46% (6/13),62% (8/13),54% (14/26),"['1', '1']","['1', '1', '3', '1', '4', '4', '6', '4']","['2', '0', '3', '1', '6', '2']",[],[],1.69
20.08.,Moroni F.,1,,,,,,1,7,59%,57% (32/56),31% (12/39),43% (6/14),52% (22/42),57% (20/35),47% (7/15),13,62,50% (3/6),46% (44/95),55% (42/77),50% (86/172),2,0,38% (5/13),54% (7/13),46% (12/26),"['1', '0', '2', '1', '4', '1']","['1', '0', '2', '3', '4', '3']","['1', '2']",[],[],2.07
19.08.,Bertrand R.,2,,,,,,2,2,67%,67% (20/30),53% (8/15),33% (1/3),47% (18/38),68% (19/28),38% (6/16),10,18,67% (4/6),62% (28/45),56% (37/66),59% (65/111),7,0,75% (6/8),75% (6/8),75% (12/16),"['1', '0', '3', '2', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.69
19.08.,Azoidis D.,0,,,,,,2,3,58%,53% (20/38),32% (9/28),63% (10/16),33% (10/30),47% (7/15),67% (2/3),11,39,50% (4/8),44% (29/66),38% (17/45),41% (46/111),3,0,25% (2/8),25% (2/8),25% (4/16),"['1', '1', '3', '5']",[],[],[],[],18.5
15.08.,Donnet E.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '6', '3']",[],[],[],1.66
15.08.,Bertrand R.,0,,,,,,[],"['1', '3']",[],[],[],20.5
14.08.,Bertrand R.,2,,,,,,"['3', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],20.0
14.08.,Dlimi Y.,0,,,,,,[],[],[],[],[],1.72
13.08.,Bertrand R.,0,,,,,,"['4', '3', '6', '5']",[],[],[],[],20.0
13.08.,Kudriashov I.,0,,,,,,"['5', '5']",[],[],[],[],1.78
09.08.,Added D.,2,,,,,,[],"['5', '4']","['1', '0', '5', '4']",[],[],20.5
09.08.,Bertrand R.,1,,,,,,"['7', '5']",[],"['3', '3']",[],[],1.63
08.08.,Bertrand R.,1,,,,,,"['3', '3', '6', '6']","['3', '2']",[],[],[],1.70
08.08.,Dhamne M.,0,,,,,,"['1', '0', '6', '5']",[],[],[],[],20.5
07.08.,Bertrand R.,2,,,,,,"['1', '0', '3', '2', '5', '2']","['2', '1', '4', '1', '6', '3']",[],[],[],1.52
07.08.,Cardinaud H.,0,,,,,,"['1', '1']","['3', '5']",[],[],[],17.0
05.08.,Bertrand R.,2,,,,,,[],"['2', '2', '4', '2', '6', '2']","['3', '1', '4', '2', '6', '2']",[],[],1.32
05.08.,Gautier A.,1,,,,,,[],"['2', '1']","['2', '3']",[],[],3.14
27.07.,Torres T.,2,,,,,,0,4,54%,58% (22/38),52% (17/33),38% (3/8),44% (20/45),54% (15/28),43% (6/14),16,24,100% (1/1),55% (39/71),48% (35/73),51% (74/144),8,0,58% (7/12),46% (6/13),52% (13/25),[],"['1', '1', '2', '2', '4', '2']","['1', '2', '3', '2', '6', '3']",[],[],6.40
27.07.,Bertrand R.,1,,,,,,2,5,62%,56% (25/45),46% (13/28),57% (8/14),42% (16/38),48% (16/33),63% (5/8),10,25,0% (0/0),52% (38/73),45% (32/71),49% (70/144),2,2,54% (7/13),42% (5/12),48% (12/25),"['2', '0', '4', '0']","['1', '0', '2', '1']","['2', '0']",[],[],1.14
23.07.,Crawford O.,2,,,,,,4,0,62%,68% (19/28),71% (12/17),50% (1/2),60% (21/35),50% (7/14),71% (5/7),24,16,57% (8/14),69% (31/45),57% (28/49),63% (59/94),8,0,88% (7/8),71% (5/7),80% (12/15),"['2', '0', '4', '0']","['1', '0', '3', '2', '5', '2']",[],[],[],1.53
23.07.,Bertrand R.,0,,,,,,1,0,71%,40% (14/35),50% (7/14),29% (2/7),32% (9/28),29% (5/17),50% (1/2),5,21,100% (3/3),43% (21/49),31% (14/45),37% (35/94),2,0,29% (2/7),13% (1/8),20% (3/15),[],"['2', '2']",[],[],[],2.40
21.07.,Bertrand R.,2,,,,,,2,2,78%,70% (37/53),47% (7/15),67% (4/6),41% (21/51),60% (12/20),56% (5/9),21,29,75% (3/4),65% (44/68),46% (33/71),55% (77/139),6,0,78% (7/9),56% (5/9),67% (12/18),"['2', '0', '4', '0', '6', '0']","['2', '2', '6', '6']",[],[],[],1.55
21.07.,Cui J.,0,,,,,,2,3,72%,59% (30/51),40% (8/20),44% (4/9),30% (16/53),53% (8/15),33% (2/6),20,38,88% (7/8),54% (38/71),35% (24/68),45% (62/139),4,2,44% (4/9),22% (2/9),33% (6/18),[],"['1', '0', '6', '5']",[],[],[],2.36
