https://www.tennisexplorer.com/res/img/player/M7qs3saR-IwZgqI4m.jpeg
Ghavam Amirali
Country: Iran
Age: 18 (7. 4. 2006)
Current/Highest rank - singles: 1841. / 1771.
Sex: man
Plays: right
