Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,187/197,53/43,99/109,34/44,1/1,-
2024,28/28,2/2,25/24,1/2,-,-
2023,27/38,4/8,9/17,14/13,-,-
2022,22/33,-,18/23,4/10,-,-
2021,29/27,3/4,20/17,6/6,-,-
2020,13/16,2/2,7/9,4/5,-,-
2019,25/26,6/7,16/14,3/5,-,-
2018,25/17,19/11,3/2,2/3,1/1,-
2017,17/9,17/9,-,-,-,-
2016,1/2,-,1/2,-,-,-
2015,0/1,-,0/1,-,-,-
