Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Beijing (China),hard,header
30.09. 10:40,Krueger A.,0,2,2,,,,2,3,67%,54% (19/35),29% (5/17),29% (2/7),28% (11/39),55% (12/22),50% (1/2),5,46% (24/52),38% (23/61),42% (47/113),1,38% (3/8),13% (1/8),25% (4/16),[],"['1', '1']",[],[],[],8.00
30.09. 10:40,Sabalenka A.,2,6,6,,,,2,3,64%,72% (28/39),45% (10/22),50% (1/2),46% (16/35),71% (12/17),71% (5/7),8,62% (38/61),54% (28/52),58% (66/113),4,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '3', '0']","['1', '0', '2', '1', '4', '1']",[],[],[],1.08
28.09. 13:40,Krueger A.,2,6,7^7,,,,3,3,60%,79% (27/34),70% (16/23),100% (1/1),34% (12/35),50% (15/30),33% (3/9),6,75% (43/57),42% (27/65),57% (70/122),4,100% (9/9),30% (3/10),63% (12/19),"['1', '0', '3', '0', '6', '1']",[],[],[],[],1.54
28.09. 13:40,Sun L.,0,1,6^4,,,,1,3,54%,66% (23/35),50% (15/30),67% (6/9),21% (7/34),30% (7/23),0% (0/1),4,58% (38/65),25% (14/57),43% (52/122),1,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],2.49
26.09. 16:40,Krueger A.,2,3,6,6,,,5,4,76%,67% (50/75),38% (9/24),60% (6/10),38% (15/40),55% (17/31),100% (5/5),7,60% (59/99),45% (32/71),54% (91/170),4,71% (10/14),38% (5/13),56% (15/27),[],"['2', '1', '3', '2']","['1', '0', '2', '1', '4', '1']",[],[],1.68
26.09. 16:40,Wang Y.,1,6,4,2,,,2,2,56%,63% (25/40),45% (14/31),0% (0/5),33% (25/75),63% (15/24),40% (4/10),6,55% (39/71),40% (40/99),46% (79/170),3,62% (8/13),29% (4/14),44% (12/27),"['3', '2', '6', '3']","['2', '2']","['1', '1']",[],[],2.22
WTA - SINGLES :  Guadalajara (Mexico),hard,header
13.09. 09:05,Krueger A.,1,6,3,1,,,3,8,56%,61% (30/49),33% (13/39),36% (4/11),33% (14/42),55% (18/33),67% (4/6),7,49% (43/88),43% (32/75),46% (75/163),5,46% (6/13),33% (4/12),40% (10/25),"['1', '1', '3', '1', '5', '1']","['1', '2']",[],[],[],1.45
13.09. 09:05,Frech M.,2,3,6,6,,,3,7,56%,67% (28/42),45% (15/33),33% (2/6),39% (19/49),67% (26/39),64% (7/11),5,57% (43/75),51% (45/88),54% (88/163),6,67% (8/12),54% (7/13),60% (15/25),"['1', '0', '2', '5']","['2', '0', '3', '1']","['2', '1', '4', '1', '6', '1']",[],[],2.78
11.09. 00:40,Krueger A.,2,7,6,,,,4,9,58%,71% (30/42),47% (14/30),75% (6/8),30% (11/37),68% (27/40),50% (5/10),10,61% (44/72),49% (38/77),55% (82/149),9,80% (8/10),50% (5/10),65% (13/20),"['2', '5', '4', '5', '6', '5']","['1', '0', '5', '2']",[],[],[],1.46
11.09. 00:40,Maria T.,0,5,2,,,,1,7,48%,70% (26/37),33% (13/40),50% (5/10),29% (12/42),53% (16/30),25% (2/8),6,51% (39/77),39% (28/72),45% (67/149),5,50% (5/10),20% (2/10),35% (7/20),"['2', '0', '4', '0']",[],[],[],[],2.78
WTA - SINGLES :  US Open (USA),hard,header
01.09. 00:40,Krueger A.,0,1,1,,,,2,2,63%,36% (12/33),58% (11/19),58% (7/12),15% (3/20),25% (4/16),0% (0/0),6,27,67% (4/6),4,44% (23/52),19% (7/36),34% (30/88),1,29% (2/7),0% (0/7),14% (2/14),1356,[],[],[],[],[],2.53
01.09. 00:40,Samsonova L.,2,6,6,,,,0,0,56%,85% (17/20),75% (12/16),0% (0/0),64% (21/33),42% (8/19),42% (5/12),9,4,100% (4/4),7,81% (29/36),56% (29/52),66% (58/88),11,100% (7/7),71% (5/7),86% (12/14),1306,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0']",[],[],[],1.54
29.08. 23:05,Krueger A.,2,6,6,,,,1,4,57%,77% (23/30),43% (10/23),40% (2/5),41% (11/27),88% (14/16),60% (6/10),15,15,80% (8/10),7,62% (33/53),58% (25/43),60% (58/96),6,67% (6/9),75% (6/8),71% (12/17),1576,"['3', '1', '5', '1']","['1', '0', '2', '1', '3', '2', '5', '2']",[],[],[],4.34
29.08. 23:05,Andreeva M.,0,1,4,,,,4,2,63%,59% (16/27),13% (2/16),40% (4/10),23% (7/30),57% (13/23),60% (3/5),14,25,57% (4/7),5,42% (18/43),38% (20/53),40% (38/96),2,25% (2/8),33% (3/9),29% (5/17),1690,[],"['1', '1', '2', '2', '3', '5']",[],[],[],1.23
27.08. 20:40,Krueger A.,2,0,6,7,,,5,4,58%,67% (30/45),44% (14/32),69% (9/13),32% (18/56),67% (16/24),63% (5/8),32,31,82% (9/11),7,57% (44/77),43% (34/80),50% (78/157),4,67% (8/12),38% (5/13),52% (13/25),1784,[],"['1', '0', '3', '0', '6', '1']","['2', '0', '7', '5']",[],[],1.07
27.08. 20:40,Zhang S.,1,6,1,5,,,3,3,70%,68% (38/56),33% (8/24),38% (3/8),33% (15/45),56% (18/32),31% (4/13),22,26,73% (8/11),5,58% (46/80),43% (33/77),50% (79/157),6,62% (8/13),33% (4/12),48% (12/25),1943,"['2', '0', '4', '0', '6', '0']",[],"['1', '2']",[],[],9.04
WTA - SINGLES :  Cincinnati (USA),hard,header
15.08. 22:10,Krueger A.,0,5,0,,,,1,3,59%,46% (18/39),30% (8/27),36% (4/11),28% (9/32),67% (10/15),60% (3/5),6,39% (26/66),40% (19/47),40% (45/113),3,22% (2/9),33% (3/9),28% (5/18),"['1', '0', '3', '2', '5', '4']",[],[],[],[],2.32
