Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,134/98,30/23,89/64,3/5,12/6,-
2024,27/23,6/6,17/14,-,4/3,-
2023,44/26,8/6,26/15,2/2,8/3,-
2022,34/22,10/4,23/16,1/2,-,-
2021,15/14,5/2,10/11,0/1,-,-
2020,2/2,1/1,1/1,-,-,-
2019,12/11,0/4,12/7,-,-,-
