Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,44/41,35/29,8/5,1/7,-,-
2024,9/11,7/10,2/1,-,-,-
2023,27/24,24/16,2/2,1/6,-,-
2022,8/6,4/3,4/2,0/1,-,-
