Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,102/98,15/22,81/71,1/4,-,5/1
2024,12/15,5/8,7/7,-,-,-
2023,18/17,0/3,13/13,-,-,5/1
2022,14/23,2/2,12/20,0/1,-,-
2021,26/20,3/5,23/15,-,-,-
2020,6/3,-,6/3,-,-,-
2019,25/17,5/4,20/12,0/1,-,-
2018,1/2,-,0/1,1/1,-,-
2017,0/1,-,-,0/1,-,-
