Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,420/352,222/187,175/127,23/38,-,-
2024,22/28,19/22,2/5,1/1,-,-
2023,49/40,44/32,4/7,1/1,-,-
2022,29/34,26/23,1/9,2/2,-,-
2021,26/37,17/25,6/7,3/5,-,-
2020,13/16,5/3,8/10,0/3,-,-
2019,27/38,15/19,11/14,1/5,-,-
2018,34/31,18/13,15/15,1/3,-,-
2017,29/31,6/7,21/17,2/7,-,-
2016,32/31,15/14,13/11,4/6,-,-
2015,63/25,28/14,33/9,2/2,-,-
2014,32/10,0/2,32/8,-,-,-
2013,32/12,14/4,14/6,4/2,-,-
2012,16/12,5/5,9/6,2/1,-,-
2011,16/7,10/4,6/3,-,-,-
