Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,182/114,21/16,149/95,7/3,-,5/0
2024,8/3,-,7/3,-,-,1/0
2023,50/16,0/2,46/14,-,-,4/0
2020,0/1,-,0/1,-,-,-
2019,21/16,7/5,14/11,-,-,-
2018,12/24,0/3,11/20,1/1,-,-
2017,30/22,-,30/22,-,-,-
2016,44/24,7/4,31/18,6/2,-,-
2015,16/6,7/2,9/4,-,-,-
2014,1/2,-,1/2,-,-,-
