Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,62/73,57/58,5/14,-,0/1,-
2024,4/6,4/6,-,-,-,-
2023,12/17,11/14,1/3,-,-,-
2022,20/19,19/16,1/3,-,-,-
2021,16/18,13/13,3/4,-,0/1,-
2020,2/3,2/3,-,-,-,-
2019,8/8,8/6,0/2,-,-,-
2018,0/2,-,0/2,-,-,-
