Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,647/461,500/314,78/59,62/71,3/11,4/6
2024,32/9,32/9,-,-,-,-
2022,11/20,10/18,0/1,-,1/1,-
2021,42/41,41/37,0/3,-,1/1,-
2020,24/26,22/16,2/4,0/4,-,0/2
2019,57/29,56/26,0/2,-,0/1,1/0
2018,26/28,22/20,2/2,2/4,0/2,-
2017,37/22,35/19,0/1,1/1,0/1,1/0
2016,36/35,31/26,1/1,3/6,0/1,1/1
2015,36/32,33/24,0/2,3/5,0/1,-
2014,33/22,25/11,5/7,2/3,0/1,1/0
2013,46/37,27/18,11/6,8/10,-,0/3
2012,67/29,53/18,10/5,4/6,-,-
2011,25/26,7/12,11/7,7/6,0/1,-
2010,52/22,16/7,25/10,10/4,1/1,-
2009,41/25,37/16,2/2,2/7,-,-
2008,59/34,41/22,-,18/12,-,-
2007,18/14,12/11,5/2,1/1,-,-
2006,4/8,0/3,4/4,0/1,-,-
2005,1/2,0/1,-,1/1,-,-
