Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.04.,Shanmugam A.,2,,,,,,"['3', '3']","['5', '3']","['5', '4']",[],[],1.35
02.04.,Prabodh S. R.,1,,,,,,"['3', '2', '4', '3']",[],[],[],[],2.99
18.09.2024,Brown P.,2,,,,,,"['2', '0', '4', '0']","['3', '2', '5', '2']",[],[],[],1.13
18.09.2024,Prabodh S. R.,0,,,,,,[],[],[],[],[],5.25
24.10.2023,Rawat S.,2,,,,,,[],[],[],[],[],-
24.10.2023,Prabodh S. R.,0,,,,,,[],[],[],[],[],-
13.02.2022,Noguchi R.,2,,,,,,2,2,70%,78% (31/40),71% (12/17),50% (2/4),43% (19/44),61% (17/28),40% (4/10),75% (43/57),51% (37/72),62% (80/129),80% (8/10),44% (4/9),63% (12/19),"['2', '0', '4', '0']","['4', '3', '6', '5']",[],[],[],1.08
13.02.2022,Prabodh S. R.,0,,,,,,0,1,61%,57% (25/44),36% (10/28),60% (6/10),23% (9/40),18% (3/17),50% (2/4),49% (35/72),25% (14/57),38% (49/129),56% (5/9),20% (2/10),37% (7/19),[],"['4', '4', '6', '6']",[],[],[],7.70
06.02.2022,Diez S.,2,,,,,,2,2,76%,91% (29/32),40% (4/10),100% (2/2),36% (12/33),60% (12/20),50% (4/8),79% (33/42),49% (26/53),62% (59/95),100% (8/8),44% (4/9),71% (12/17),"['3', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.04
06.02.2022,Prabodh S. R.,0,,,,,,3,2,62%,64% (21/33),30% (6/20),50% (4/8),9% (3/32),40% (4/10),0% (0/2),51% (27/53),21% (9/42),38% (36/95),56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],9.80
30.09.2021,Kingsley C.,2,,,,,,"['2', '0', '4', '0']","['5', '4']",[],[],[],1.07
30.09.2021,Prabodh S. R.,0,,,,,,"['1', '4']",[],[],[],[],8.00
29.09.2021,Prabodh S. R.,1,,,,,,"['1', '0', '2', '1', '3', '2', '4', '3', '6', '5']","['2', '0', '3', '1', '5', '1']","['1', '0', '3', '0']",[],[],2.89
29.09.2021,Baris O.,1,,,,,,"['1', '1', '2', '2', '3', '3', '5', '5', '6', '6']","['1', '2']",[],[],[],1.40
10.02.2020,Orlov V.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['2', '0', '6', '2']",[],[],[],1.07
10.02.2020,Prabodh S. R.,0,,,,,,"['2', '1']",[],[],[],[],9.30
13.11.2018,Halys Q.,2,,,,,,"['4', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.06
13.11.2018,Prabodh S. R.,0,,,,,,[],[],[],[],[],8.50
21.11.2017,Ymer E.,2,,,,,,"['1', '1', '4', '4', '6', '4']","['2', '0']",[],[],[],1.03
21.11.2017,Prabodh S. R.,0,,,,,,"['1', '0', '3', '2']","['1', '2']",[],[],[],13.00
03.01.2015,Vardhan V.,2,,,,,,"['2', '0', '4', '0']","['3', '2', '6', '3']",[],[],[],1.10
03.01.2015,Prabodh S. R.,0,,,,,,[],[],[],[],[],8.40
