Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,34/18,34/18,-,-,-,-
2024,7/8,7/8,-,-,-,-
2023,14/6,14/6,-,-,-,-
2022,13/4,13/4,-,-,-,-
