Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,83/106,63/79,20/27,-,-,-
2024,12/9,12/7,0/2,-,-,-
2023,22/23,15/16,7/7,-,-,-
2022,14/21,11/16,3/5,-,-,-
2021,15/23,6/12,9/11,-,-,-
2020,9/11,9/11,-,-,-,-
2019,10/13,9/11,1/2,-,-,-
2018,0/1,0/1,-,-,-,-
2017,1/5,1/5,-,-,-,-
