Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,118/131,6/11,107/117,5/3,-,-
2024,2/3,0/1,2/2,-,-,-
2023,7/8,-,7/7,0/1,-,-
2022,11/8,-,8/7,3/1,-,-
2021,3/6,3/4,0/2,-,-,-
2020,6/18,-,6/18,-,-,-
2019,17/19,1/3,14/15,2/1,-,-
2018,15/19,1/2,14/17,-,-,-
2017,29/19,1/1,28/18,-,-,-
2016,15/18,-,15/18,-,-,-
2015,13/13,-,13/13,-,-,-
