Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,393/308,182/106,188/170,12/16,11/16,-
2024,0/5,0/4,-,0/1,-,-
2023,34/25,17/10,12/11,5/4,-,-
2022,14/22,8/10,6/11,-,0/1,-
2021,20/21,10/9,10/10,0/1,0/1,-
2020,20/22,9/5,9/15,2/2,-,-
2019,22/14,10/3,12/10,0/1,-,-
2018,26/23,18/9,8/13,-,0/1,-
2017,14/19,1/5,9/10,1/1,3/3,-
2016,48/26,29/8,18/13,0/2,1/3,-
2015,17/26,3/8,13/16,-,1/2,-
2014,36/22,24/8,10/12,-,2/2,-
2013,35/22,15/9,14/9,4/3,2/1,-
2012,43/22,22/5,19/14,0/1,2/2,-
2011,32/15,7/5,25/10,-,-,-
2010,12/8,4/3,8/5,-,-,-
2009,13/11,4/4,9/7,-,-,-
2008,7/5,1/1,6/4,-,-,-
